"Papers","Author","Areas","ORCID","Name_Variants"
"7","Richard M. Soland","","","Richard M. Soland"
"7","George P. Huber","","","George P. Huber; George Huber"
"7","Richard C. Grinold","","","Richard C. Grinold"
"7","Robert W. Haessler","","","Robert W. Haessler"
"7","Laurence A. Wolsey","","","Laurence A. Wolsey"
"7","William A. Wallace","","","William A. Wallace"
"7","Amnon Rapoport","behavioral economics","0000-0003-1508-0771","Amnon Rapoport"
"7","Ulf Peter Welam","","","Ulf Peter Welam"
"7","David T. Robinson","business strategy, finance","0000-0003-3687-5186","David T. Robinson; David Robinson; David W. Robinson"
"7","Craig W. Kirkwood","","","Craig W. Kirkwood"
"7","Ralph E. Steuer","","","Ralph E. Steuer"
"7","James H. Vander Weide","","","James H. Vander Weide; James Vander Weide"
"7","Richard Staelin","judgment and decision making, marketing","","Richard Staelin"
"7","Robin M. Hogarth","","","Robin M. Hogarth"
"7","Joseph B. Kadane","","","Joseph B. Kadane"
"7","Cheryl Gaimon","entrepreneurship and innovation","","Cheryl Gaimon"
"7","Eric J. Johnson","decision analysis, judgment and decision making","","Eric J. Johnson; Eric Johnson"
"7","Birger Wernerfelt","","","Birger Wernerfelt"
"7","Robert F. Nau","","","Robert F. Nau"
"7","Kevin F. McCardle","","","Kevin F. McCardle; Kevin McCardle"
"7","David D. Yao","operations management","","David D. Yao"
"7","Wayne S. DeSarbo","special issue on business analytics","","Wayne S. DeSarbo; Wayne S. Desarbo"
"7","John D. Sterman","","","John D. Sterman; John Sterman"
"7","John R. Birge","finance, healthcare management, operations management","0000-0002-7446-0953","John R. Birge"
"7","Mandyam M. Srinivasan","","","Mandyam M. Srinivasan"
"7","Panagiotis Kouvelis","","","Panagiotis Kouvelis"
"7","Michael C. Fu","stochastic models and simulation","","Michael C. Fu"
"7","Ravi Anupindi","operations management","0000-0002-7563-5188","Ravi Anupindi"
"7","Barry L. Bayus","entrepreneurship and innovation","","Barry L. Bayus"
"7","Wesley M. Cohen","entrepreneurship and innovation","","Wesley M. Cohen; Wesley Cohen"
"7","Subramanian Balachander","marketing","","Subramanian Balachander"
"7","Preyas S. Desai","marketing","","Preyas S. Desai; Preyas Desai"
"7","Esther Gal-Or","marketing","0000-0002-5988-8839","Esther Gal-Or"
"7","Vinod R. Singhal","operations management","","Vinod R. Singhal"
"7","Robert A. Shumsky","healthcare management, operations management","0000-0001-7648-1267","Robert A. Shumsky"
"7","Rachel Q. Zhang","data science, optimization","0000-0002-0789-8488","Rachel Q. Zhang"
"7","Jayashankar M. Swaminathan","operations management","0000-0002-1224-5422","Jayashankar M. Swaminathan"
"7","Martin A. Lariviere","stochastic models and simulation","","Martin A. Lariviere"
"7","Haresh Gurnani","marketing, operations management","0000-0002-3639-203X","Haresh Gurnani"
"7","Madhav V. Rajan","accounting","0000-0002-3029-1633","Madhav V. Rajan; Madhav Rajan"
"7","Sridhar Seshadri","data science, focused issue editor, operations management","0000-0002-7917-5537","Sridhar Seshadri"
"7","Elie Ofek","information systems, marketing","0000-0001-9585-0961","Elie Ofek"
"7","Nils Rudi","operations management","","Nils Rudi"
"7","Sergei Savin","healthcare management, operations management","0000-0002-2277-3712","Sergei Savin"
"7","Kevin Shang","data science, operations management, stochastic models and simulation","0000-0001-9546-6310","Kevin Shang; Kevin H. Shang"
"7","Brian Tomlin","operations management","0000-0002-2533-1039","Brian Tomlin; Brian T. Tomlin"
"7","Michael D. Ryall","business strategy","0000-0002-7116-4606","Michael D. Ryall"
"7","D. J. Wu","information systems","0000-0002-7991-1127","D. J. Wu"
"7","Harish Krishnan","operations management","0000-0001-6978-362X","Harish Krishnan"
"7","Jiwoong Shin","marketing","0000-0001-8175-854X","Jiwoong Shin"
"7","Jerker Denrell","business strategy, judgment and decision making, organizations","0000-0001-9628-1924","Jerker Denrell; Jerker. Denrell"
"7","Siva Viswanathan","entrepreneurship and innovation, information systems, marketing","0000-0002-2730-0746","Siva Viswanathan"
"7","Chris Forman","entrepreneurship and innovation, information systems","0000-0003-3055-1607","Chris Forman"
"7","Yong Tan","information systems, special issue on the human-algorithm connection","0000-0001-8087-3423","Yong Tan"
"7","Ilia Tsetlin","behavioral economics and decision analysis, decision analysis","0000-0002-7367-9494","Ilia Tsetlin"
"7","David H. Hsu","business strategy, entrepreneurship and innovation, organizations","0000-0001-8228-5449","David H. Hsu"
"7","Eric T. Bradlow","marketing","","Eric T. Bradlow; Eric Bradlow"
"7","Thierry Post","decision analysis, finance","0000-0002-9030-1274","Thierry Post"
"7","Sanjiv Erat","decision analysis, entrepreneurship and innovation, revenue management and market analytics","0000-0002-9878-3562","Sanjiv Erat"
"7","Robert Zeithammer","behavioral economics, marketing","0000-0002-8388-247X","Robert Zeithammer"
"7","Lamar Pierce","business strategy, operations management","0000-0003-0452-1391","Lamar Pierce"
"7","Robert Swinney","operations and supply chain management, operations management","0000-0001-5994-6544","Robert Swinney"
"7","Li Chen","information systems, operations management","0000-0002-2878-5351","Li Chen"
"7","Itai Gurvich","operations management, revenue management and market analytics, stochastic models and simulation","0000-0001-9746-7755","Itai Gurvich"
"7","Noah Lim","behavioral economics, decision analysis, marketing","0000-0002-3801-8084","Noah Lim"
"7","Raphael Thomadsen","marketing","0000-0003-3958-5416","Raphael Thomadsen"
"7","John A. List","behavioral economics, decision analysis, special section of management science: 65th anniversary","0000-0002-1740-3848","John A. List; John List"
"7","Vishal V. Agrawal","marketing, operations management","0000-0002-5285-6586","Vishal V. Agrawal; Vishal Agrawal"
"7","N. Bora Keskin","management science special section on data-driven prescriptive analytics, operations management, revenue management and market analytics, stochastic models and simulation","0000-0003-1828-0533","N. Bora Keskin"
"7","Prasanna Tambe","guest department editor, guest department editor, information systems, information systems, organizations, special issue on business analytics, special issue on the human-algorithm connection","0000-0002-5308-1057","Prasanna Tambe; Prasanna B. Tambe"
"7","K. Sudhir","marketing","0000-0001-9398-8887","K. Sudhir"
"7","Lauren Cohen","finance","0000-0002-3583-3024","Lauren Cohen; Lauren H. Cohen"
"7","Kyle Hyndman","behavioral economics, behavioral economics and decision analysis, decision analysis, operations management","0000-0003-3666-8734","Kyle Hyndman"
"7","Mingfeng Lin","entrepreneurship and innovation, information systems, marketing","0000-0003-3239-7412","Mingfeng Lin"
"7","Srikanth Jagabathula","operations management, optimization, revenue management and market analytics","0000-0002-4854-3181","Srikanth Jagabathula"
"7","George Serafeim","accounting, business strategy, organizations","0000-0002-1528-6473","George Serafeim"
"7","Garud Iyengar","finance, operations management, optimization, revenue management and analytics, revenue management and market analytics, stochastic models and simulation","0000-0001-6546-4154","Garud Iyengar; Garud N. Iyengar"
"7","Bin Hu","operations management, revenue management and market analytics","0000-0002-1841-9024","Bin Hu"
"7","Param Vir Singh","information systems, marketing","0000-0002-0211-7849","Param Vir Singh"
"7","Tinglong Dai","marketing, operations management","0000-0001-9248-5153","Tinglong Dai"
"7","Ying-Ju Chen","data science, entrepreneurship and innovation, marketing, operations management, revenue management and market analytics","0000-0002-5712-1829","Ying-Ju Chen"
"7","Santiago Gallino","operations management, special issue on business analytics","0000-0002-8906-2691","Santiago Gallino"
"7","Ozan Candogan","healthcare management, operations management, optimization, revenue management and market analytics","0000-0003-3920-402X","Ozan Candogan"
"7","Asa B. Palley","accounting, behavioral economics, behavioral economics and decision analysis, decision analysis, judgment and decision making","0000-0002-6724-4654","Asa B. Palley"
"7","Santiago R. Balseiro","operations management, optimization, revenue management and market analytics, stochastic models and simulation","0000-0002-0012-3292","Santiago R. Balseiro; Santiago Balseiro"
"7","Julian Wright","business strategy, marketing","0000-0002-4463-0720","Julian Wright"
"7","Neil Stewart","behavioral economics, behavioral economics and decision analysis, finance, judgment and decision making","0000-0002-2202-018X","Neil Stewart"
"7","Bertil Tungodden","behavioral economics, behavioral economics and decision analysis","0000-0002-4182-8491","Bertil Tungodden"
"7","Ruomeng Cui","operations management","0000-0003-0939-8759","Ruomeng Cui"
"7","Avanidhar Subrahmanyam","finance","0000-0001-8496-7646","Avanidhar Subrahmanyam"
"7","Umit G. Gurun","accounting, finance","0000-0002-0746-0603","Umit G. Gurun"
"7","Idris Adjerid","behavioral economics, information systems, special issue on the human-algorithm connection","0000-0002-2786-1244","Idris Adjerid"
"7","Michael Luca","behavioral economics, behavioral economics and decision analysis, business strategy, information systems, marketing","0000-0002-0747-7544","Michael Luca"
"7","Juan Camilo Serpa","operations management","0000-0001-9737-2852","Juan Camilo Serpa"
"7","Roni Michaely","accounting, finance","0000-0003-2675-9667","Roni Michaely"
"7","Terry Shevlin","accounting","0000-0001-8286-2891","Terry Shevlin"
"7","Hamsa Bastani","big data analytics, big data and analytics, data science, management science special section on data-driven prescriptive analytics, operations management, special issue on the human-algorithm connection","0000-0002-8793-4732","Hamsa Bastani"
"7","Elena Katok","behavioral economics and decision analysis–fast track, operations management","0000-0002-7037-7896","Elena Katok"
"7","Feng Zhu","information systems, marketing","0000-0002-3034-6876","Feng Zhu"
"7","Shiyang Huang","finance","0000-0002-1273-4621","Shiyang Huang"
"7","Ananya Sen","business strategy, information systems, information systems division, marketing","0000-0002-9082-6871","Ananya Sen"
"7","Will Ma","big data analytics, data science, management science special section on data-driven prescriptive analytics, operations management, revenue management and market analytics","0000-0002-2420-4468","Will Ma"
"7","Ali Aouad","data science, operations management, optimization, revenue management and market analytics","0000-0002-9812-6140","Ali Aouad"
"7","Adam N. Elmachtoub","operations management, optimization, revenue management and market analytics","0000-0003-0729-4999","Adam N. Elmachtoub"
"7","Shiva Rajgopal","accounting, special section of management science: 65th anniversary","0000-0003-3118-3236","Shiva Rajgopal; Shivaram Rajgopal"
"7","Daniela Saban","operations management, revenue management and market analytics, stochastic models and simulation","0000-0002-5217-4112","Daniela Saban"
"7","Yining Wang","big data analytics, data science, operations management","0000-0001-9410-0392","Yining Wang"
"7","Anyan Qi","data science, operations management, special issue on the human-algorithm connection, stochastic models and simulation","0000-0003-2933-8294","Anyan Qi"
"6","Merrill M. Flood","","","Merrill M. Flood"
"6","James R. Jackson","","","James R. Jackson"
"6","Alan S. Manne","","","Alan S. Manne"
"6","William T. Morris","","","William T. Morris"
"6","C. Derman","","","C. Derman"
"6","H. Theil","","","H. Theil"
"6","K. O. Kortanek","","","K. Kortanek; K. O. Kortanek"
"6","Burton V. Dean","","","Burton V. Dean"
"6","Robert W. Blanning","","","Robert W. Blanning"
"6","H. Martin Weingartner","","","H. Martin Weingartner"
"6","Kenneth D. Mackenzie","","","Kenneth D. Mackenzie"
"6","D. B. Learner","","","D. B. Learner"
"6","William P. Pierskalla","","","William P. Pierskalla; William Pierskalla"
"6","Ellis L. Johnson","","","Ellis L. Johnson"
"6","Robert L. Smith","","","Robert L. Smith; Robert P. Smith; Robert D. Smith"
"6","Charles ReVelle","","","Charles ReVelle; Charles S. Revelle; Charles Revelle"
"6","Uri Yechiali","","","Uri Yechiali"
"6","Richard O. Mason","","","Richard O. Mason"
"6","Sheldon M. Ross","","","Sheldon M. Ross"
"6","William L. Maxwell","","","William L. Maxwell"
"6","Thom J. Hodgson","","","Thom J. Hodgson"
"6","Darwin Klingman","","","Darwin Klingman; Darwin D. Klingman"
"6","William T. Ziemba","","","William T. Ziemba; William. T. Ziemba"
"6","Martin J. Gruber","","","Martin J. Gruber"
"6","A. M. Geoffrion","","","A. M. Geoffrion"
"6","Basheer M. Khumawala","","","Basheer M. Khumawala"
"6","Vijay S. Bawa","","","Vijay S. Bawa"
"6","Roy E. Marsten","","","Roy E. Marsten"
"6","Robert F. Love","","","Robert F. Love; Robert M. Love"
"6","Charles B. Weinberg","","","Charles B. Weinberg"
"6","W. T. Ziemba","","","W. T. Ziemba"
"6","James G. Morris","","","James G. Morris; James R. Morris"
"6","Prabhakant Sinha","","","Prabhakant Sinha"
"6","Gary J. Koehler","","","Gary J. Koehler; Gary Koehler"
